sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
male_75,0.016239247793696055,0.00723510274233145,0.07021712448571507,0.017651644593460067,0.002147013397259686,0.01263194422405999,0,0,0
male_76,0.017281690711351674,0.007542434576525094,0.07475470042600285,0.01876532497282902,0.0018360923921475047,0.013337417186774565,0,0,0
male_77,0.01844522190930773,0.007817563085060092,0.07979928773641266,0.01987011047641838,0.0015695960333399288,0.014089634074007228,0,0,0
male_78,0.019768672313814496,0.008077095642745346,0.08534069739265374,0.02092041110557294,0.0013383000592064507,0.014883999270772014,0,0,0
male_79,0.021242492110153652,0.00832161109655929,0.09179521629642505,0.022006922961195864,0.0011381519666093139,0.015721953971464787,0,0,0
male_80,0.022902175838777853,0.008563574423198066,0.09915961368646334,0.02301972295438334,9.740564088271148e-4,0.016639009027786228,0,0,0
male_81,0.024723083157109152,0.008796758451223035,0.10750188881024089,0.023988685747364,8.417940313883021e-4,0.017593669334449842,0,0,0
male_82,0.02675048005577972,0.009043086107148227,0.1168769553990783,0.024962158526025575,7.326213021984732e-4,0.018615421044233638,0,0,0
male_83,0.02897245917358278,0.009328291897127979,0.12752184740116232,0.025778315969702946,6.451898076887537e-4,0.019684029652993842,0,0,0
male_84,0.03137427789523212,0.009680184982638573,0.13960281284005602,0.0265906305554046,5.7654595853714e-4,0.02084007410676285,0,0,0
male_85,0.03394160632948799,0.010094774290715213,0.1534560984983642,0.027353584416124604,5.23512353887623e-4,0.022048368137802143,0,0,0
male_86,0.03667151901064246,0.010619174560087702,0.16960250780218727,0.02806194081320424,4.8017617455849555e-4,0.023341198414633828,0,0,0
male_87,0.039568327614636974,0.011290880664365083,0.18807661135340054,0.028711820466326664,4.485823811184928e-4,0.024728542489974692,0,0,0
male_88,0.042594292183468496,0.012136625130470972,0.20910828990414837,0.029299990806412504,4.2763858381943864e-4,0.026216411004522294,0,0,0
male_89,0.04570279512012125,0.013191947994663882,0.2336908602305855,0.029839720141694406,4.139173726569441e-4,0.027819524620447927,0,0,0
male_90,0.04890164842923447,0.014537679793577354,0.26266566952106657,0.03018838935088352,4.08852056565915e-4,0.029508256473479107,0,0,0
male_91,0.05203293542137132,0.016199960046619416,0.2959954308338544,0.030650377272611745,4.0824598075146995e-4,0.03137246158097601,0,0,0
male_92,0.055159049509069455,0.018244440844240956,0.3340033061342953,0.03100730887970663,4.1505529127317366e-4,0.03332378224678996,0,0,0
